Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
,,0.0,0.0,18.0,0.0,0.0,6.0,6.0,6.0,12.333333333333334,0.0,,6.0,7.0,5.0,14.2,0.0,13.9,-0.3,,Graduate
0.0,1.0,0.0,1.0,,,0.0,8.0,8.0,,13.214285714285714,0.0,0.0,8.0,8.0,7.0,13.214285714285714,0.0,12.7,3.7,-1.7,Graduate
0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,12.7,3.7,-1.7,Dropout
0.0,1.0,0.0,1.0,21.0,0.0,0.0,6.0,7.0,6.0,10.571428571428571,0.0,0.0,6.0,8.0,5.0,11.0,0.0,8.9,1.4,3.51,Graduate
0.0,1.0,0.0,1.0,18.0,0.0,,5.0,7.0,4.0,13.25,0.0,0.0,5.0,5.0,5.0,12.0,0.0,10.8,1.4,1.74,Graduate
0.0,1.0,0.0,0.0,20.0,0.0,0.0,,6.0,5.0,13.2,0.0,0.0,6.0,7.0,0.0,0.0,0.0,15.5,2.8,-4.06,Dropout
0.0,1.0,,0.0,18.0,0.0,0.0,6.0,10.0,1.0,12.0,0.0,0.0,6.0,14.0,2.0,,0.0,10.8,1.4,,
0.0,1.0,0.0,0.0,18.0,0.0,0.0,7.0,8.0,7.0,13.30625,,0.0,8.0,8.0,,14.545,0.0,15.5,2.8,,Graduate
0.0,1.0,0.0,0.0,20.0,0.0,0.0,5.0,8.0,4.0,12.5,1.0,0.0,5.0,8.0,4.0,12.25,2.0,10.8,1.4,1.74,Graduate
0.0,1.0,0.0,0.0,18.0,0.0,0.0,7.0,7.0,6.0,11.666666666666666,0.0,0.0,7.0,,6.0,,0.0,16.2,0.3,-0.92,Enrolled
0.0,1.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,11.1,0.6,2.02,Graduate
0.0,1.0,0.0,,20.0,0.0,0.0,7.0,14.0,,11.4375,0.0,0.0,8.0,9.0,8.0,11.425,0.0,12.7,3.7,-1.7,Enrolled
0.0,1.0,0.0,0.0,18.0,0.0,0.0,8.0,12.0,7.0,12.857142857142858,0.0,0.0,,12.0,7.0,12.857142857142858,0.0,12.7,3.7,-1.7,Graduate
0.0,1.0,0.0,1.0,19.0,0.0,0.0,6.0,8.0,6.0,13.375,,0.0,6.0,7.0,,12.285714285714286,0.0,11.1,0.6,2.02,Graduate
0.0,1.0,0.0,0.0,19.0,0.0,0.0,7.0,,6.0,,0.0,0.0,8.0,9.0,7.0,14.114285714285714,0.0,11.1,0.6,2.02,Graduate
1.0,1.0,,1.0,18.0,0.0,0.0,6.0,8.0,5.0,11.6,0.0,0.0,6.0,12.0,,11.0,0.0,7.6,2.6,0.32,Enrolled
0.0,1.0,0.0,0.0,21.0,0.0,,6.0,9.0,6.0,11.375,0.0,0.0,6.0,9.0,6.0,13.285714285714286,0.0,16.2,0.3,,Graduate
0.0,1.0,0.0,,18.0,0.0,0.0,5.0,9.0,,12.666666666666666,2.0,0.0,5.0,7.0,4.0,13.0,0.0,,-0.8,-3.12,Enrolled
0.0,1.0,,0.0,20.0,0.0,0.0,5.0,6.0,,12.0,0.0,0.0,5.0,6.0,5.0,12.333333333333334,0.0,,0.3,,Graduate
,1.0,1.0,0.0,19.0,0.0,0.0,7.0,9.0,6.0,12.933333333333332,0.0,0.0,7.0,,6.0,13.716666666666669,0.0,,,-0.92,Enrolled
0.0,1.0,1.0,0.0,21.0,0.0,0.0,6.0,15.0,5.0,11.857142857142858,0.0,0.0,6.0,17.0,5.0,10.571428571428571,0.0,16.2,,-0.92,Enrolled
0.0,,1.0,0.0,20.0,0.0,2.0,6.0,7.0,6.0,12.833333333333334,0.0,0.0,6.0,9.0,4.0,13.4,0.0,8.9,1.4,3.51,Graduate
,0.0,1.0,0.0,18.0,0.0,0.0,5.0,9.0,3.0,11.333333333333334,0.0,0.0,5.0,8.0,2.0,13.5,0.0,8.9,1.4,3.51,Enrolled
0.0,1.0,0.0,0.0,19.0,0.0,0.0,,6.0,6.0,12.666666666666666,0.0,0.0,,8.0,6.0,14.375,0.0,12.4,0.5,1.79,Graduate
0.0,1.0,,0.0,34.0,0.0,0.0,5.0,6.0,5.0,12.4,0.0,0.0,5.0,9.0,5.0,13.428571428571429,0.0,,-0.3,0.79,Graduate
1.0,0.0,1.0,0.0,37.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,,1.0,10.0,0.0,8.9,1.4,3.51,Dropout
0.0,1.0,1.0,0.0,43.0,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,5.0,0.0,,0.0,0.0,7.6,2.6,0.32,Dropout
,1.0,0.0,0.0,55.0,0.0,0.0,,10.0,1.0,10.0,0.0,0.0,5.0,8.0,2.0,12.0,2.0,16.2,0.3,-0.92,Dropout
0.0,1.0,0.0,0.0,39.0,0.0,0.0,5.0,8.0,5.0,,0.0,0.0,5.0,5.0,5.0,11.6,0.0,7.6,2.6,0.32,Graduate
1.0,0.0,0.0,0.0,20.0,1.0,,6.0,13.0,3.0,11.666666666666666,0.0,1.0,6.0,11.0,3.0,12.0,0.0,12.4,0.5,,Dropout
1.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,6.0,4.0,12.75,0.0,0.0,5.0,5.0,0.0,0.0,0.0,12.7,3.7,-1.7,Dropout
0.0,1.0,,0.0,22.0,0.0,0.0,5.0,5.0,5.0,14.8,0.0,0.0,5.0,5.0,5.0,15.8,0.0,8.9,1.4,3.51,Graduate
,1.0,0.0,0.0,22.0,0.0,0.0,7.0,9.0,5.0,,0.0,0.0,8.0,,7.0,14.342857142857142,,11.1,0.6,2.02,Graduate
0.0,0.0,0.0,0.0,20.0,0.0,0.0,,7.0,4.0,13.0,0.0,0.0,6.0,7.0,5.0,13.8,0.0,12.4,0.5,1.79,Dropout
0.0,1.0,0.0,0.0,29.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5.0,0.0,,,0.0,16.2,0.3,,Dropout
0.0,1.0,0.0,0.0,,0.0,0.0,5.0,9.0,2.0,11.5,0.0,0.0,5.0,11.0,3.0,14.333333333333334,1.0,7.6,2.6,0.32,Enrolled
0.0,1.0,,0.0,18.0,0.0,0.0,6.0,6.0,6.0,11.666666666666666,0.0,0.0,6.0,8.0,5.0,13.2,0.0,11.1,0.6,2.02,Graduate
0.0,1.0,0.0,1.0,22.0,0.0,0.0,7.0,8.0,6.0,13.516666666666666,0.0,,8.0,,7.0,13.771428571428572,,11.1,0.6,2.02,
0.0,1.0,0.0,1.0,21.0,0.0,3.0,6.0,6.0,6.0,11.5,0.0,2.0,6.0,7.0,6.0,13.285714285714286,0.0,12.4,0.5,1.79,Graduate
0.0,1.0,0.0,1.0,,0.0,0.0,6.0,7.0,5.0,,0.0,0.0,6.0,7.0,6.0,,0.0,12.7,3.7,-1.7,Graduate
0.0,1.0,,1.0,24.0,0.0,,6.0,6.0,6.0,13.666666666666666,0.0,0.0,6.0,6.0,6.0,14.166666666666666,0.0,12.4,0.5,1.79,Graduate
0.0,1.0,0.0,1.0,19.0,0.0,0.0,8.0,10.0,6.0,11.833333333333334,0.0,0.0,8.0,10.0,6.0,11.833333333333334,,9.4,-0.8,-3.12,Enrolled
0.0,1.0,0.0,1.0,20.0,0.0,0.0,,11.0,4.0,14.0,0.0,0.0,6.0,,3.0,11.0,0.0,9.4,-0.8,-3.12,Enrolled
0.0,1.0,0.0,,19.0,,0.0,5.0,7.0,5.0,14.714285714285714,0.0,,5.0,5.0,5.0,15.8,,7.6,,0.32,Graduate
0.0,1.0,0.0,0.0,27.0,0.0,0.0,5.0,12.0,5.0,10.6,0.0,0.0,5.0,10.0,5.0,11.0,0.0,9.4,-0.8,-3.12,Dropout
0.0,1.0,0.0,0.0,18.0,0.0,0.0,7.0,9.0,7.0,13.044444444444444,,0.0,8.0,10.0,8.0,13.595,0.0,15.5,2.8,-4.06,Graduate
,1.0,0.0,0.0,39.0,0.0,0.0,6.0,10.0,0.0,0.0,,0.0,6.0,6.0,0.0,0.0,0.0,12.4,,1.79,Dropout
0.0,1.0,0.0,0.0,27.0,,0.0,6.0,9.0,5.0,13.0,0.0,5.0,11.0,13.0,10.0,12.9,0.0,12.4,0.5,,Dropout
,1.0,0.0,0.0,18.0,0.0,0.0,,8.0,8.0,14.935,0.0,0.0,8.0,8.0,8.0,,0.0,9.4,-0.8,-3.12,
0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,2.6,0.32,
0.0,1.0,0.0,0.0,18.0,0.0,0.0,7.0,8.0,,13.133333333333333,0.0,0.0,8.0,12.0,7.0,12.221428571428572,0.0,16.2,0.3,-0.92,Graduate
0.0,1.0,0.0,1.0,21.0,0.0,3.0,6.0,7.0,6.0,,0.0,,6.0,7.0,6.0,12.0,0.0,13.9,-0.3,0.79,Graduate
0.0,,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,Enrolled
0.0,1.0,1.0,0.0,19.0,0.0,0.0,6.0,6.0,5.0,11.4,,0.0,6.0,8.0,,10.0,0.0,,1.4,1.74,Enrolled
0.0,1.0,1.0,0.0,24.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,12.7,3.7,-1.7,Enrolled
0.0,1.0,1.0,0.0,29.0,0.0,2.0,7.0,10.0,5.0,11.9,0.0,1.0,8.0,10.0,5.0,11.0,0.0,13.9,-0.3,0.79,Dropout
0.0,1.0,,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,10.8,1.4,1.74,Graduate
0.0,1.0,1.0,0.0,23.0,0.0,,6.0,8.0,6.0,,0.0,0.0,6.0,7.0,6.0,12.428571428571429,0.0,8.9,1.4,3.51,Graduate
,1.0,1.0,0.0,19.0,0.0,0.0,5.0,8.0,5.0,11.2,0.0,0.0,5.0,10.0,4.0,10.75,3.0,16.2,0.3,-0.92,Dropout
0.0,1.0,1.0,,26.0,0.0,0.0,6.0,7.0,6.0,12.0,0.0,0.0,6.0,8.0,5.0,10.8,0.0,,3.7,-1.7,Enrolled
0.0,1.0,1.0,0.0,,0.0,,5.0,9.0,0.0,0.0,0.0,,,5.0,0.0,0.0,0.0,7.6,2.6,0.32,Enrolled
0.0,1.0,1.0,0.0,24.0,0.0,0.0,7.0,8.0,7.0,11.975,0.0,0.0,8.0,8.0,8.0,13.75,0.0,13.9,-0.3,0.79,Graduate
,1.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,2.8,-4.06,
0.0,1.0,,0.0,18.0,0.0,,6.0,12.0,3.0,11.666666666666666,0.0,0.0,6.0,12.0,1.0,12.0,0.0,12.4,0.5,1.79,Dropout
0.0,1.0,1.0,0.0,18.0,0.0,0.0,6.0,8.0,6.0,12.333333333333334,0.0,0.0,6.0,11.0,3.0,,0.0,10.8,1.4,1.74,Graduate
1.0,1.0,1.0,0.0,18.0,0.0,0.0,5.0,8.0,,10.333333333333334,0.0,0.0,,11.0,3.0,,0.0,10.8,1.4,1.74,Dropout
0.0,1.0,1.0,1.0,21.0,0.0,0.0,6.0,8.0,4.0,10.5,0.0,0.0,6.0,11.0,,11.0,0.0,9.4,-0.8,-3.12,Dropout
,1.0,1.0,1.0,19.0,0.0,0.0,6.0,6.0,6.0,13.666666666666666,0.0,0.0,6.0,6.0,6.0,13.333333333333334,0.0,8.9,,3.51,Graduate
0.0,1.0,1.0,1.0,22.0,0.0,0.0,7.0,7.0,7.0,14.842857142857142,0.0,0.0,8.0,,8.0,15.055555555555555,0.0,16.2,0.3,-0.92,Graduate
0.0,,1.0,0.0,33.0,0.0,,,8.0,6.0,12.0,0.0,0.0,6.0,6.0,6.0,11.666666666666666,0.0,10.8,1.4,1.74,Graduate
0.0,1.0,1.0,0.0,20.0,,0.0,6.0,8.0,5.0,12.2,,0.0,6.0,7.0,5.0,12.2,0.0,10.8,1.4,,Dropout
0.0,1.0,1.0,0.0,,,0.0,1.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,10.8,1.4,1.74,Dropout
1.0,1.0,1.0,,24.0,0.0,6.0,12.0,17.0,6.0,12.166666666666666,0.0,7.0,12.0,14.0,10.0,13.3,,12.4,0.5,1.79,Dropout
,,1.0,0.0,18.0,0.0,0.0,5.0,6.0,5.0,,,0.0,5.0,8.0,3.0,11.333333333333334,0.0,12.7,3.7,-1.7,Enrolled
0.0,1.0,0.0,,,0.0,,6.0,7.0,6.0,11.0,0.0,0.0,6.0,11.0,5.0,11.0,0.0,9.4,-0.8,-3.12,Graduate
0.0,1.0,0.0,1.0,22.0,,,8.0,8.0,7.0,13.08,0.0,0.0,8.0,8.0,7.0,13.08,0.0,10.8,,1.74,Graduate
0.0,1.0,0.0,1.0,25.0,0.0,0.0,5.0,7.0,4.0,,0.0,0.0,5.0,7.0,,,0.0,9.4,-0.8,-3.12,Graduate
0.0,1.0,1.0,0.0,,0.0,0.0,6.0,9.0,6.0,10.666666666666666,1.0,0.0,6.0,6.0,5.0,11.2,0.0,7.6,2.6,0.32,Graduate
0.0,,,0.0,23.0,0.0,0.0,5.0,6.0,4.0,,0.0,0.0,,5.0,5.0,13.8,0.0,11.1,0.6,2.02,Enrolled
1.0,1.0,1.0,0.0,18.0,0.0,0.0,5.0,9.0,2.0,10.0,0.0,,5.0,,0.0,0.0,0.0,15.5,2.8,-4.06,Enrolled
0.0,1.0,1.0,0.0,24.0,0.0,0.0,7.0,18.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,,0.0,13.9,-0.3,0.79,Dropout
0.0,0.0,0.0,0.0,21.0,1.0,0.0,6.0,6.0,6.0,14.0,0.0,0.0,6.0,,6.0,13.5,0.0,8.9,1.4,,Graduate
0.0,1.0,0.0,0.0,26.0,1.0,0.0,6.0,7.0,2.0,12.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,,1.4,3.51,
0.0,1.0,0.0,0.0,39.0,0.0,,6.0,12.0,,12.666666666666666,0.0,0.0,6.0,14.0,0.0,0.0,1.0,7.6,2.6,0.32,Dropout
0.0,1.0,0.0,0.0,44.0,0.0,2.0,8.0,11.0,8.0,11.875,0.0,0.0,6.0,7.0,6.0,12.333333333333334,0.0,,3.7,,Graduate
0.0,,1.0,0.0,19.0,1.0,0.0,5.0,9.0,5.0,,0.0,,5.0,11.0,3.0,13.25,0.0,13.9,-0.3,0.79,Enrolled
0.0,1.0,0.0,0.0,18.0,,0.0,6.0,6.0,6.0,13.666666666666666,0.0,0.0,6.0,6.0,6.0,13.333333333333334,0.0,8.9,1.4,3.51,Graduate
0.0,1.0,0.0,1.0,18.0,0.0,0.0,7.0,7.0,7.0,13.75,0.0,0.0,8.0,9.0,8.0,14.47777777777778,0.0,12.4,0.5,1.79,Graduate
,1.0,0.0,0.0,19.0,0.0,0.0,5.0,7.0,5.0,14.2,2.0,0.0,5.0,7.0,5.0,13.8,0.0,12.7,3.7,-1.7,Enrolled
1.0,0.0,0.0,0.0,,0.0,0.0,7.0,10.0,,11.96,,0.0,7.0,7.0,0.0,0.0,,13.9,-0.3,,Dropout
,1.0,0.0,,21.0,0.0,7.0,10.0,,8.0,12.875,0.0,4.0,9.0,14.0,5.0,13.4,0.0,,1.4,3.51,Dropout
0.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,16.2,,-0.92,Graduate
0.0,1.0,0.0,0.0,36.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,,0.0,0.0,0.0,9.4,-0.8,-3.12,Dropout
0.0,1.0,0.0,0.0,43.0,0.0,13.0,18.0,19.0,18.0,14.63157894736842,0.0,10.0,13.0,14.0,,14.23076923076923,1.0,15.5,2.8,-4.06,Graduate
0.0,1.0,,0.0,19.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,,0.0,,0.0,11.1,,2.02,Dropout
1.0,1.0,0.0,0.0,20.0,0.0,4.0,10.0,12.0,10.0,13.0,0.0,5.0,11.0,11.0,11.0,12.272727272727272,0.0,11.1,0.6,2.02,Graduate
0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,16.2,0.3,-0.92,
0.0,1.0,0.0,0.0,20.0,0.0,0.0,6.0,15.0,,,0.0,0.0,6.0,17.0,4.0,,0.0,15.5,2.8,-4.06,
0.0,1.0,0.0,,20.0,0.0,2.0,7.0,9.0,6.0,,0.0,0.0,7.0,10.0,5.0,,0.0,,0.5,1.79,Dropout
,1.0,0.0,0.0,20.0,0.0,0.0,7.0,,6.0,11.666666666666666,0.0,0.0,7.0,10.0,3.0,13.0,,16.2,0.3,-0.92,Enrolled
0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,8.0,6.0,13.857142857142858,0.0,0.0,6.0,,6.0,15.0,0.0,13.9,-0.3,0.79,Graduate
0.0,1.0,0.0,1.0,18.0,0.0,0.0,5.0,9.0,3.0,13.0,0.0,0.0,5.0,11.0,3.0,11.0,0.0,8.9,1.4,3.51,Enrolled
0.0,1.0,0.0,0.0,19.0,0.0,0.0,5.0,6.0,5.0,13.4,0.0,0.0,5.0,5.0,5.0,12.8,0.0,10.8,,1.74,Graduate
0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,6.0,6.0,12.666666666666666,0.0,0.0,6.0,7.0,,12.571428571428571,0.0,10.8,,1.74,Graduate
0.0,,0.0,0.0,18.0,0.0,0.0,7.0,7.0,6.0,12.516666666666666,1.0,0.0,7.0,7.0,6.0,12.516666666666666,1.0,7.6,2.6,,
0.0,,,0.0,20.0,0.0,0.0,7.0,,6.0,11.616666666666667,0.0,0.0,7.0,,7.0,13.0,0.0,13.9,-0.3,0.79,Enrolled
0.0,1.0,0.0,1.0,,0.0,0.0,6.0,13.0,2.0,10.0,,0.0,,12.0,4.0,10.75,0.0,,,0.32,Enrolled
0.0,1.0,0.0,0.0,20.0,0.0,0.0,5.0,,,10.333333333333334,0.0,0.0,5.0,10.0,3.0,,0.0,12.4,0.5,1.79,Enrolled
0.0,1.0,0.0,,18.0,0.0,0.0,5.0,,5.0,13.142857142857142,,0.0,5.0,6.0,5.0,11.4,0.0,9.4,-0.8,-3.12,
0.0,1.0,0.0,0.0,18.0,0.0,0.0,5.0,5.0,5.0,12.6,0.0,0.0,5.0,5.0,5.0,14.0,0.0,11.1,0.6,2.02,Graduate
0.0,1.0,0.0,0.0,21.0,0.0,0.0,6.0,12.0,3.0,11.0,0.0,0.0,6.0,,2.0,11.0,0.0,9.4,-0.8,-3.12,Dropout
0.0,1.0,,0.0,19.0,0.0,0.0,5.0,8.0,5.0,10.8,,0.0,5.0,9.0,4.0,11.25,2.0,16.2,0.3,,Graduate
0.0,,0.0,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.8,1.4,1.74,Dropout
0.0,1.0,0.0,1.0,19.0,0.0,0.0,5.0,5.0,5.0,,0.0,0.0,,5.0,,,0.0,9.4,-0.8,-3.12,Graduate
0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,15.0,6.0,14.166666666666666,,0.0,6.0,13.0,6.0,12.2,0.0,15.5,2.8,-4.06,Graduate
0.0,1.0,,0.0,19.0,,0.0,,12.0,5.0,12.1,0.0,0.0,7.0,0.0,,0.0,0.0,13.9,,0.79,Dropout
0.0,1.0,0.0,,20.0,0.0,,6.0,7.0,6.0,14.166666666666666,0.0,1.0,6.0,17.0,5.0,13.77777777777778,0.0,12.4,0.5,1.79,Graduate
0.0,,0.0,,18.0,0.0,0.0,6.0,8.0,5.0,12.8,0.0,0.0,,7.0,5.0,13.4,0.0,9.4,-0.8,-3.12,Enrolled
,1.0,0.0,0.0,18.0,0.0,0.0,6.0,7.0,6.0,13.0,0.0,0.0,6.0,6.0,6.0,,0.0,12.4,0.5,,Graduate
0.0,1.0,0.0,0.0,19.0,,0.0,7.0,7.0,7.0,13.467142857142855,0.0,,8.0,9.0,8.0,15.011111111111113,0.0,12.4,0.5,1.79,Graduate
0.0,1.0,0.0,1.0,18.0,0.0,0.0,7.0,9.0,7.0,13.2375,0.0,0.0,8.0,9.0,,13.742857142857144,,13.9,-0.3,0.79,Dropout
0.0,1.0,0.0,0.0,18.0,,,,6.0,6.0,12.333333333333334,0.0,0.0,6.0,6.0,6.0,13.0,0.0,7.6,2.6,0.32,Graduate
0.0,1.0,0.0,0.0,19.0,0.0,0.0,5.0,7.0,5.0,12.4,0.0,,5.0,,5.0,14.6,0.0,8.9,1.4,,Graduate
0.0,1.0,0.0,0.0,19.0,0.0,,7.0,8.0,5.0,14.0,0.0,0.0,7.0,7.0,,0.0,0.0,,-0.3,0.79,Dropout
0.0,1.0,0.0,0.0,20.0,0.0,5.0,9.0,15.0,9.0,11.666666666666666,0.0,2.0,,8.0,7.0,,0.0,7.6,,0.32,Graduate
1.0,0.0,0.0,1.0,19.0,,0.0,6.0,7.0,5.0,12.0,0.0,0.0,6.0,9.0,4.0,12.5,0.0,,0.5,1.79,Dropout
0.0,1.0,,0.0,,0.0,,5.0,7.0,4.0,,0.0,0.0,5.0,5.0,4.0,11.5,0.0,7.6,2.6,0.32,Graduate
1.0,1.0,0.0,1.0,18.0,0.0,0.0,6.0,6.0,6.0,14.833333333333334,0.0,0.0,6.0,6.0,6.0,14.833333333333334,0.0,8.9,1.4,3.51,Graduate
0.0,1.0,0.0,1.0,20.0,0.0,0.0,7.0,9.0,5.0,13.188,0.0,0.0,8.0,9.0,7.0,12.892857142857142,0.0,11.1,0.6,2.02,Enrolled
0.0,,0.0,0.0,18.0,0.0,0.0,7.0,8.0,7.0,17.125,0.0,0.0,8.0,8.0,8.0,17.5875,0.0,13.9,-0.3,0.79,Graduate
0.0,1.0,0.0,,,0.0,0.0,7.0,7.0,6.0,12.666666666666666,0.0,0.0,7.0,7.0,,12.666666666666666,0.0,7.6,2.6,0.32,Graduate
0.0,1.0,0.0,1.0,19.0,0.0,0.0,6.0,,6.0,12.666666666666666,0.0,0.0,6.0,10.0,5.0,12.0,0.0,12.4,0.5,1.79,Graduate
1.0,0.0,0.0,0.0,22.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,8.9,1.4,3.51,
0.0,1.0,0.0,1.0,19.0,,0.0,6.0,7.0,6.0,11.333333333333334,,0.0,6.0,6.0,6.0,11.5,0.0,12.4,,1.79,Graduate
0.0,1.0,0.0,,19.0,0.0,0.0,7.0,10.0,,13.605,0.0,0.0,,11.0,8.0,12.33125,0.0,15.5,2.8,-4.06,Graduate
,1.0,0.0,1.0,,0.0,0.0,6.0,10.0,5.0,12.0,0.0,0.0,6.0,9.0,5.0,10.8,0.0,9.4,-0.8,-3.12,Graduate
0.0,1.0,0.0,0.0,19.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,,7.6,2.6,0.32,Dropout
0.0,1.0,0.0,0.0,20.0,0.0,,6.0,8.0,5.0,11.2,0.0,0.0,,12.0,3.0,11.666666666666666,0.0,7.6,2.6,0.32,Dropout
,1.0,0.0,0.0,18.0,0.0,0.0,5.0,10.0,5.0,13.375,0.0,0.0,5.0,,5.0,14.166666666666666,0.0,13.9,-0.3,0.79,Graduate
0.0,1.0,0.0,1.0,20.0,0.0,,7.0,8.0,6.0,13.863333333333337,0.0,,8.0,9.0,7.0,,0.0,11.1,0.6,2.02,Graduate
0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.4,-0.8,-3.12,Enrolled
0.0,1.0,0.0,0.0,19.0,0.0,0.0,5.0,6.0,5.0,12.4,0.0,,,,5.0,,0.0,7.6,2.6,,Graduate
0.0,1.0,0.0,0.0,18.0,0.0,,6.0,11.0,3.0,12.333333333333334,0.0,0.0,6.0,10.0,5.0,10.833333333333334,0.0,,-0.8,,Enrolled
0.0,1.0,0.0,0.0,18.0,0.0,,6.0,7.0,6.0,13.333333333333334,0.0,,6.0,8.0,,11.8,0.0,7.6,2.6,0.32,Graduate
0.0,1.0,0.0,0.0,21.0,0.0,,6.0,10.0,3.0,12.666666666666666,0.0,0.0,6.0,12.0,3.0,10.0,0.0,9.4,-0.8,-3.12,
0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,8.0,,12.0,0.0,,6.0,10.0,4.0,11.5,0.0,7.6,2.6,0.32,Dropout
0.0,1.0,0.0,1.0,18.0,0.0,0.0,5.0,5.0,5.0,10.6,0.0,0.0,5.0,5.0,5.0,11.8,0.0,12.4,0.5,1.79,Graduate
0.0,1.0,0.0,1.0,18.0,0.0,0.0,6.0,8.0,6.0,12.25,0.0,0.0,6.0,7.0,6.0,11.857142857142858,0.0,12.7,3.7,,Graduate
